"FileName","Coverage","Source","SRR_Illumina","SRR_Nanopore","StrainName","StandardizedName","GeographicOrigin","EcoOrigin","Country","Continent","PositionOnTree","Clade","SubClade"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173025_1.fastq.gz",85.09,"Dudley2019","SRR8173025","","YO466","XTRA_FBV","Tanzania","Togwa, Tanzania","Tanzania","Tanzania",1016,"7. African Beer",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173024_1.fastq.gz",65.55,"Dudley2019","SRR8173024","","YO468","XTRA_FBW","Tanzania","Togwa, Tanzania","Tanzania","Tanzania",1757,NA,NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173023_1.fastq.gz",83.79,"Dudley2019","SRR8173023","","YO645","XTRA_FBX","Costa Rica","Banana, Costa Rica","Costa Rica","North America",1747,"16. USA Clinical 1",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173018_1.fastq.gz",71.32,"Dudley2019","SRR8173018","","YO647","XTRA_FBY","Nepal","Murcha yeast cake, Nepal","Nepal","Asia",1851,"18. Asian Fermentation",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173017_1.fastq.gz",79.63,"Dudley2019","SRR8173017","","YO648","XTRA_FBZ","Malaysia","Tapioca, Malaysia","Malaysia","Asia",2019,"18. Asian Fermentation",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173079_1.fastq.gz",37.26,"Dudley2019","SRR8173079","","YO649","XTRA_FCA","China","Fermented food, China","China","Asia",1936,"18. Asian Fermentation","18.3 Baiju"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173080_1.fastq.gz",39.58,"Dudley2019","SRR8173080","","YO670","XTRA_FCB","United States","Wheat starch, United States","USA","North America",1754,"18. Asian Fermentation",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173077_1.fastq.gz",40.26,"Dudley2019","SRR8173077","","YO672","XTRA_FCC","India","Jalebi, Indian fried (sweet) snack, India","India","Asia",1845,"18. Asian Fermentation","18.3 Baiju"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173078_1.fastq.gz",77.63,"Dudley2019","SRR8173078","","YO700","XTRA_FCD","Pakistan","Baker, Pakistan","Pakistan","Asia",1827,"18. Asian Fermentation","18.3 Baiju"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173083_1.fastq.gz",86.52,"Dudley2019","SRR8173083","","YO705","XTRA_FCE","Brazil","Fermented cassava mash, Brazil","Brazil","South America",1588,"16. USA Clinical 1",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173084_1.fastq.gz",305.22,"Dudley2019","SRR8173084","","YO707","XTRA_FCF",NA,"Coconut pod",NA,NA,1298,"11. Mixed Origins",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173081_1.fastq.gz",51.11,"Dudley2019","SRR8173081","","YO715","XTRA_FCG","Italy","Stracchino cheese, Italy","Italy","Europe",897,"5. French Dairy",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173082_1.fastq.gz",54.69,"Dudley2019","SRR8173082","","YO721","XTRA_FCH",NA,"Kefyr",NA,NA,1773,"18. Asian Fermentation",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173085_1.fastq.gz",43.1,"Dudley2019","SRR8173085","","YO724","XTRA_FCI",NA,"Bark from Quercus variabi (Asian Oak)",NA,NA,2210,"22. East Asian Wild","22.1 Chinese Wild 2"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173086_1.fastq.gz",52.61,"Dudley2019","SRR8173086","","YO728","XTRA_FCJ","Jamaica","Cane juice, Jamaica","Jamaica","North America",1583,"16. USA Clinical 1",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173058_1.fastq.gz",60.57,"Dudley2019","SRR8173058","","YO730","XTRA_FCK",NA,"Wild cherry tree gum",NA,NA,1537,"14. Mexican Agave",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173057_1.fastq.gz",54.53,"Dudley2019","SRR8173057","","YO732","XTRA_FCL",NA,"Amylo process (isolating EtOH from starch.)",NA,NA,1850,"18. Asian Fermentation","18.3 Baiju"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173060_1.fastq.gz",64.63,"Dudley2019","SRR8173060","","YO734","XTRA_FCM","Yosemite, California - United States","D. pseudoobscura, Yosemite, California - United States","USA","North America",1781,"18. Asian Fermentation","18.2 Mantou 2"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173059_1.fastq.gz",76.05,"Dudley2019","SRR8173059","","YO769","XTRA_FCN","Border Field State Park, San Diego County, California - United States","Mud, leaves, Border Field State Park, San Diego County, California - United States","USA","North America",2341,"22. East Asian Wild","22.5 Taiwanese Wild 3"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173062_1.fastq.gz",43.31,"Dudley2019","SRR8173062","","YO770","XTRA_FCO","Border Field State Park, San Diego County, California - United States","Mud, leaves, Border Field State Park, San Diego County, California - United States","USA","North America",1870,"18. Asian Fermentation","18.3 Baiju"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173061_1.fastq.gz",76.99,"Dudley2019","SRR8173061","","YO798","XTRA_FCP","New Orleans, LA - United States","Citrus juice, New Orleans, LA - United States","USA","North America",1617,"16. USA Clinical 1",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173064_1.fastq.gz",366.61,"Dudley2019","SRR8173064","","YO807","XTRA_FCQ",NA,"Canned peaches",NA,NA,1297,"11. Mixed Origins",NA
